TANDOORI CHICKEN FULL,640.0,660.0,390.0,660.0,640.0
CHICKEN TIKKA,340.0,360.0,390.0,360.0,340.0
HARAYALI CHICKEN TIKKA,340.0,360.0,390.0,360.0,340.0
RESHMI KABAB,420.0,440.0,470.0,440.0,420.0
MURG MALAI KABAB,390.0,410.0,440.0,410.0,390.0
KALMI KABAB,380.0,400.0,430.0,400.0,380.0
V GRAND SPL TANDOORI PLATTER,620.0,640.0,670.0,640.0,620.0
TODAY SPL TANDOORI,410.0,430.0,460.0,430.0,410.0
VEG MANCHURIAN,230.0,250.0,280.0,250.0,230.0
PULKA,50.0,60.0,70.0,60.0,50.0
PLAIN ROTI,65.0,75.0,95.0,75.0,65.0
BUTTER ROTI,80.0,90.0,110.0,90.0,80.0
PLAIN NAAN,65.0,75.0,95.0,75.0,65.0
BUTTER NAAN,80.0,90.0,110.0,90.0,80.0
METHI NAAN,85.0,95.0,115.0,95.0,85.0
METHI PAROTA,85.0,95.0,115.0,95.0,85.0
GARLIC NAAN,85.0,95.0,115.0,95.0,85.0
PANEER KULCHA,95.0,105.0,125.0,105.0,95.0
MASALA KULCHA,90.0,100.0,120.0,100.0,90.0
VEG SPRING ROLLS,260.0,280.0,310.0,280.0,260.0
WHITE RICE,130.0,150.0,180.0,150.0,130.0
CURD RICE,170.0,190.0,220.0,190.0,170.0
SPL CURD RICE,190.0,210.0,240.0,210.0,190.0
VEG FRIED RICE,250.0,270.0,300.0,270.0,250.0
JEERA RICE,260.0,280.0,300.0,270.0,260.0
SHEZWAN VEG FRIED RICE,280.0,300.0,330.0,300.0,280.0
MUSHROOM FRIED RICE,300.0,320.0,350.0,320.0,300.0
PANEER FRIED RICE,280.0,300.0,330.0,300.0,280.0
EGG FRIED RICE,270.0,290.0,320.0,290.0,270.0
SCHZWAN EGG FRIED RICE,280.0,300.0,330.0,300.0,280.0
VEG SWEET CORN SOUP,160.0,180.0,210.0,180.0,160.0
BABY CORN 65,260.0,280.0,310.0,280.0,260.0
CHICKEN FRIED RICE,310.0,330.0,360.0,330.0,310.0
SCHZWAN CHICKEN FRIED RICE,320.0,340.0,370.0,340.0,320.0
V GRAND SPL CHICKEN FRIED RICE,340.0,360.0,390.0,360.0,340.0
VEG NOODLES,260.0,280.0,310.0,280.0,260.0
SHEZWAN VEG NOODLES,280.0,300.0,330.0,300.0,280.0
MUSHROOM NOODLES,280.0,300.0,330.0,300.0,280.0
PANEER NOODLES,280.0,300.0,330.0,300.0,280.0
